angDist,index,ra,dec,no,ra_hour,ra_min,ra_sec,ra_err,dec_deg,dec_min,dec_sec,dec_err,epoch,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.818392,17,134.928187,-27.816142,1092,8,59,42.765,2000,-27,48,58.11,3000,1987.03,134.92800679900,-27.81630410460,0.001,0.001,0,5648046341168575616,134.92778616802,0.0193,-27.81649962145,0.0328,18.2810,0.0310,-45.322,0.049,-45.410,0.056,0,4.03693e+07,3.87934e+04,6.673238,2.09506e+07,7.20425e+04,7.048399,2.70734e+07,1.30726e+05,6.180563,0.867836,,,6047.25,,,1.98,4.711
0.778120,18,141.204432,-23.826207,1093,9,24,49.0638,1500,-23,49,34.344,2000,1989.005,141.20422388100,-23.82630933830,0.001,0.001,90,5674681804189819648,141.20403813779,0.0329,-23.82644716782,0.0268,9.5124,0.0412,-39.464,0.067,-32.012,0.064,0,3.39486e+07,7.24042e+04,6.861310,1.49449e+07,1.06463e+05,7.415155,2.62769e+07,1.47227e+05,6.212983,1.202171,,,4856.00,,,5.81,16.931
0.386252,20,183.923065,72.551288,1128,12,15,41.5356,4400,72,33,4.638,2000,1985.035,183.92288071200,72.55119603230,0.001,0.001,90,1690218825255945216,183.92275083348,0.0345,72.55108912352,0.0365,6.5847,0.0321,-9.045,0.070,-24.830,0.069,0,8.56984e+07,2.50141e+05,5.855934,3.49332e+07,3.82169e+05,6.493293,6.91550e+07,5.50996e+05,5.162362,1.330931,,,4583.56,0.2470,0.1193,15.62,97.060
1.014459,21,197.654088,35.93475,1137,13,10,36.981,1000,35,56,5.1,1000,1982.4234,197.65378282500,35.93488546860,0.001,0.001,0,1474194339773131648,197.65351708439,0.0286,35.93497406181,0.0253,7.3606,0.0408,-49.974,0.055,20.576,0.066,0,1.38023e+07,1.64602e+04,7.838488,7.14338e+06,2.96194e+04,8.216629,9.41750e+06,7.28375e+04,7.327081,0.889548,,,5570.50,,,3.43,10.218
0.989220,22,202.695283,24.232806,1140,13,30,46.868,1000,24,13,58.1,2000,1983.6324,202.69499739300,24.23271838450,0.001,0.001,90,1443378980216311552,202.69475201755,0.0318,24.23262253498,0.0223,4.6102,0.0446,-51.969,0.085,-22.262,0.040,0,1.29438e+07,2.03835e+04,7.908213,6.02836e+06,3.13485e+04,8.400889,9.71088e+06,3.46868e+04,7.293774,1.107116,,,4966.30,,,6.99,26.756
1.545911,23,203.698667,37.182458,1143,13,34,47.68,1000,37,10,56.85,1000,1982.3619,203.69920328100,37.18241501960,0.003,0.002,90,1475118788534734592,203.69966591082,0.1089,37.18237320858,0.0947,21.6693,0.1602,85.607,0.189,-9.711,0.148,0,2.41673e+08,5.91224e+05,4.730294,1.32645e+08,1.50251e+05,5.044658,1.38119e+08,2.33254e+05,4.411284,0.633373,13.96,2.04,6417.75,,,3.61,19.921
1.418354,24,203.698712,37.18246,1143,13,34,47.6908,200,37,10,56.856,200,1983.567,203.69920328100,37.18241501960,0.003,0.002,90,1475118788534734592,203.69966591082,0.1089,37.18237320858,0.0947,21.6693,0.1602,85.607,0.189,-9.711,0.148,0,2.41673e+08,5.91224e+05,4.730294,1.32645e+08,1.50251e+05,5.044658,1.38119e+08,2.33254e+05,4.411284,0.633373,13.96,2.04,6417.75,,,3.61,19.921
0.457415,25,218.951838,-18.036446,1155,14,35,48.4412,1400,-18,2,11.205,2000,1986.298,218.95174291000,-18.03653526860,0.003,0.003,0,6285122413593372032,218.95164682544,0.0616,-18.03661382476,0.0702,3.0835,0.0810,-21.220,0.176,-18.245,0.196,0,5.21165e+06,1.03776e+05,8.895927,2.44447e+06,5.73683e+04,9.380926,4.76513e+06,1.00278e+05,8.066732,1.314194,,,4707.99,,,7.64,25.807
0.804976,29,249.766447,60.699874,1178,16,39,3.9472,2700,60,41,59.548,2000,1986.298,249.76658273500,60.69966049010,0.001,0.001,0,1624551008683167616,249.76677887840,0.0228,60.69940651437,0.0245,6.5160,0.0252,22.294,0.047,-58.988,0.060,1,8.27237e+06,1.42770e+04,8.394291,4.11830e+06,1.62704e+04,8.814593,5.88477e+06,3.40633e+04,7.837596,0.976998,,,5355.83,,,3.28,7.999
1.376842,30,269.529208,15.139058,1189,17,58,7.01,1000,15,8,20.61,2000,1983.679,269.52907794700,15.13941926520,0.001,0.001,0,4501439984674494080,269.52896526762,0.0312,15.13974418240,0.0443,11.6882,0.0423,-25.262,0.068,75.465,0.085,0,2.70617e+07,3.08249e+04,7.107480,1.43143e+07,6.50466e+04,7.461964,1.76873e+07,1.35053e+05,6.642768,0.819195,,,5788.75,0.8990,0.4470,2.78,7.817
