ra,dec
7.614285091249999,4.861029222222222
8.590975955416665,-5.576867308333333
34.52648865833333,42.538161941666665
69.31623406223791,-47.25253075275593
92.55664775541666,-21.00775873888889
93.43323197999999,-2.013118161111111
95.34214323999998,10.044092891666667
107.97578802208332,-68.51317069444444
117.78814720749997,18.127357272222223
135.18313787124998,-31.74191530277778
153.13932304124995,53.1173056
65.52302134521902,49.719411320786726
156.16114741416666,-7.322064986111111
161.45911275499998,-45.16503438611111
223.94987448041664,-33.51288340833333
240.21626390166665,-30.897048794444444
240.89865625,-72.04242499166666
250.06977012833332,22.40245586388889
250.90900619013118,-12.416298067082778
258.4563882341666,7.793747925
260.2729079616667,-24.95172155
262.5902839079166,-23.075340405555554
263.1990280079167,-50.81671992222223
264.7248598870833,3.5530200666666665
266.12253142416665,-11.581859494444444
267.88622164541664,-28.962922966666667
270.46280559375,-14.2929245
270.52223016333335,-21.401016144444444
271.0880545658333,-27.292036194444446
276.13336630624997,-24.869677638888888
280.9219246283333,-11.22529681111111
283.48882820999995,13.062241361111111
284.40162750624995,9.721446430555556
287.4476398970833,-37.737365458333336
287.540422595,12.940413102777779
287.9800194858333,13.792884419444444
287.9553430220833,-11.239578122222222
289.70013800916666,-6.709691577777778
294.91067175291664,21.58309046388889
298.8661489208333,29.145405363888887
302.69133598625,-13.398907516666666
304.88308706583325,24.420836694444446
308.3646423708333,17.582923372222222
321.1826992370833,-33.979144072222226
322.3448623666667,-57.35394772777778
326.4602524958333,-7.83846885
337.4620225720833,26.732689188888887
349.2884858925,14.658682361111111
350.59306347791664,20.950743502777776
